Componenta;Măsura;Finanțare;Titlul măsurii;Alocare Finaciară (euro Exclusiv Tva);Executat (euro);Executat (%)
C8;I11;loan;I11. Capitalizare BID;100.000.000;0;0,00%
C8;R6;grant;R6. Rsistemului public de pensii;4.000.000;1.345.288;33,60%
C9;I1;loan;I1. Platforme digitale privind transparentizarea legislativă, debirocratizarea și simplificarea procedurală destinate mediului de afaceri;5.297.170;3.465.664;65,40%
C9;I2-1;loan;I2. Instrumente financiare pentru sectorul privat;1.050.000.000;138.547.169;13,20%
C9;I2-2;grant;I2. Instrumente financiare pentru sectorul privat;200.000.000;91.721.479;45,90%
C9;I3-1;grant;I3. Scheme de ajutor pentru sectorul privat;256.500.000;1.375.626;0,50%
C9;I3-2;loan;I3. Scheme de ajutor pentru sectorul privat;600.000;13;0,00%
C9;I4;loan;I4. Proiecte transfrontaliere și multinaționale – Procesoare cu consum redus de energie și cipuri semiconductoare;400.000.000;0;0,00%
C9;I5;grant;I5. Înființarea și operaționalizarea centrelor de competență;25.000.000;8.859.103;35,40%
C9;I8;grant;I8. Dezvoltarea unui program pentru atragerea resurselor umane înalt specializate din străinătate pentru activități de cercetare, dezvoltare, inovare (T284);183.000.000;49.876.430;27,30%
C9;I9;grant;I9. Program de sprijin pentru posesorii de certificate de excelență primite la competiția pentru burse individuale Marie Sklodowska Curie (T285);1.600.000;1.057.774;66,10%
C9;I10;grant;I10. Înființarea și susținerea financiară a unei rețele naționale de (8) opt centre regionale de orientare în carieră ca parte a ERA TALENT PLATFORM;4.000.000;1.798.801;45,00%
C9;R2;grant;R2. Raționalizarea guvernanței în domeniul cercetării, dezvoltării și inovării;3.430.000;4.403.396;128,40%
C10;I1;grant;I1. Mobilitate urbană durabilă;904.000.000;421.563.069;46,60%
C10;I2;loan;I2. Construcția de locuințe pentru tineri / locuințe pentru specialiști în sănătate și educație;145.341.508;50.186.292;34,50%
C10;I3-1;loan;I3. Reabilitarea moderată a clădirilor publice pentru a îmbunătăți furnizarea de servicii publice de către unitățile administrativ-teritoriale;287.500.000;278.369.270;96,80%
C10;I3-2;grant;I3. Reabilitarea moderată a clădirilor publice pentru a îmbunătăți furnizarea de servicii publice de către unitățile administrativ-teritoriale;287.500.000;0;0,00%
C10;I4;loan;I4. Elaborarea / actualizarea în format GIS a documentelor de amenajare a teritoriului și de urbanism;25.197.281;14.879.294;59,10%
C11;I1;loan;I1. Promovarea celor 12 rute turistice/culturale;102.085.000;46.174.569;45,20%
C11;I2;loan;I2. Modernizarea/crearea de muzee și memoriale;34.728.928;5.637.432;16,20%
C11;I3;grant;I3. Înființarea și operaționalizarea Centrului Național de Coordonare Velo;1.500.000;47.040;3,10%
C11;I4;loan;I4. Implementarea a 2404 km de piste pentru biciclete;24.302.153;8.943.931;36,80%
C11;I5;grant;I5. Sporirea accesului la cultură în zonele defavorizate din punct de vedere cultural;7.790.000;3.609.702;46,30%
C11;I6;grant;I6. Dezvoltarea unui sistem digital pentru procesele de finanțare a culturii;3.750.000;1.979.771;52,80%
C11;I7;grant;I7. Accelerarea digitalizării producției și distribuției de filme;5.460.000;5.129.592;94,00%
C11;R1;loan;R1. Operaționalizarea organizațiilor de management al destinației (OMD-uri);10.000.000;0;0,00%
C11;R3;grant;R3. Reformarea sistemului de finanțare a sectorului cultural;1.000.000;276.022;27,60%
C12;I1-1;grant;I1. Dezvoltarea infrastructurii medicale prespitalicești - I1.1 - Cabinete ale medicilor de familie sau asocieri de cabinete de asistență medicală primară – 2000 unități;120.250.000;183.565.552;152,70%
C12;I1-3;grant;I1. Dezvoltarea infrastructurii medicale prespitalicești - I1.3 – Unități de asistență medicală ambulatorie – 30 unități;80.250.000;0;0,00%
C12;I1-4;grant;I1. Dezvoltarea infrastructurii medicale prespitalicești - I1.4 – Centre comunitare integrate (nou-construite/renovate și dotate, inclusiv cu personal adecvat) – 200 unități;10.854.000;0;0,00%
C12;I1-5;grant;I1. Dezvoltarea infrastructurii medicale prespitalicești - I1.5 – Cabinete de planificare familială;2.016.807;0;0,00%
C12;I2-1;grant;I2. Dezvoltarea infrastructurii spitalicești publice - I2.1 Dezvoltarea infrastructurii spitalicești publice (8 spitale) si I2.2 Echipamente și aparatură medicală;275.549.474;423.615.541;153,70%
C12;I2-2;loan;I2. Dezvoltarea infrastructurii spitalicești publice - I2.1 Dezvoltarea infrastructurii spitalicești publice (8 spitale) si I2.2 Echipamente și aparatură medicală;259.886.530;0;0,00%
C12;I2-3;grant;I2. Dezvoltarea infrastructurii spitalicești publice - I2.3- Dezvoltarea infrastructurii spitalicești publice (25 Unități de terapie intensivă pentru nou-născuți dotate, inclusiv cu ambulanțe pentru nou-născuți (pentru centrele regionale) (T376);74.026.000;0;0,00%
C12;I2-4;grant;I2. Dezvoltarea infrastructurii spitalicești publice - I2.4 Echipamente și materiale destinate reducerii riscului de infecții nosocomiale;150.380.000;0;0,00%
C12;I4;loan;I4. Modernizarea asistenței medicale de urgență (Achiziționarea de noi ambulanțe);183.590.800;0;0,00%
C12;R1;grant;R1. Dezvoltarea capacității pentru gestionarea fondurilor publice din sănătate;70.180.000;1.700.000;2,40%
C12;R2;grant;R2. Dezvoltarea capacității de investiții în infrastructura sanitară;30.053.000;0;0,00%
C12;R3;grant;R3. Dezvoltarea capacității pentru managementul serviciilor de sănătate și managementul resurselor umane din sănătate;80.280.000;15.012.569;18,70%
C13;I1;grant;I1. Crearea unei rețele de centre de zi pentru copiii expuși riscului de a fi separați de familie;48.611.800;13.613.396;28,00%
C13;I2;grant;I2. Reabilitarea, renovarea și dezvoltarea infrastructurii sociale pentru persoanele cu dizabilități;34.032.327;5.631.914;16,60%
C13;I3;grant;I3. Operaționalizarea introducerii tichetelor de muncă pentru activitățile casnice;4.540.000;2.923.075;64,40%
C13;I4;grant;I4. Crearea unei rețele de centre de îngrijire de zi și de reabilitare pentru persoanele în vârstă;77.694.085;7.638.863;9,80%
C13;R2;grant;R2. Rsistemului de protecție a persoanelor adulte cu dizabilități;730.000;696.955;95,50%
C13;R3;grant;R3. Implementarea venitului minim de incluziune (VMI);2.000.000;2.106.911;105,40%
C13;R6;loan;R6. Îmbunătățirea legislației privind economia socială;300.000;296.652;98,90%
C13;R7;loan;R7. Rserviciilor de îngrijire pe termen lung pentru persoanele în vârstă;1.190.000;1.185.667;99,60%
C14;I5;grant;I5. Monitorizarea și implementarea planului;12.841.000;11.471.751;89,30%
C14;R1;grant;R1. Îmbunătățirea predictibilității și a eficienței proceselor decizionale prin întărirea capacității de coordonare a politicilor și analiză de impact la nivelul guvernului și a ministerelor coordonatoare, precum și prin consolidarea instrumentelor în vederea creșterea calității consultărilor publice la toate palierele administrație;11.930.000;6.924.010;58,00%
C14;R2;grant;R2. Întărirea coordonării la Centrul Guvernului printr-o abordare integrată și coerentă a inițiativelor în domeniul schimbărilor climatice și a dezvoltării durabile;14.180.000;3.827.288;27,00%
C14;R3;grant;R3. Management performant al resurselor umane în sectorul public;14.000.000;6.977.026;49,80%
C14;R4;grant;R4. Dezvoltarea unui sistem de salarizare echitabil și unitar în sectorul public;2.000.000;998.560;49,90%
C14;R8;grant;R8. Reformarea sistemului național de achiziții publice;4.600.000;2.680.824;58,30%
C14;R9;grant;R9. Îmbunătățirea cadrului procedural de implementare a principiilor guvernanței corporative în cadrul întreprinderilor de stat;17.830.000;1.041.493;5,80%
C15;I1-1;grant;I1. Construirea, echiparea și operaționalizarea a unui număr de 110 de creșe;167.273.000;119.504.479;71,40%
C15;I1-2;loan;I1. Construirea, echiparea și operaționalizarea a unui număr de 110 de creșe;62.727.000;0;0,00%
C15;I2;grant;I2: Înființarea, echiparea și operaționalizarea unui număr de 90 servicii complementare pentru grupurile dezavantajate;6.236.458;3.021.046;48,40%
C15;I3;grant;I3.Dezvoltarea programului cadru pentru formarea continuă a profesioniștilor care lucrează în servicii de educație timpurii;3.832.000;708.458;18,50%
C15;I4;grant;I4: Sprijinirea unităților de învățământ cu risc crescut de abandon școlar;460.000.000;14.447.218;3,10%
C15;I5;grant;I5: Instruiri pentru utilizatorii (SIIIR) și (MATE) și intervenții sistemice pentru reducerea abandonului școlar;43.000.000;0;0,00%
C15;I6;grant;I6: Dezvoltarea a 10 consorții regionale și dezvoltarea și dotarea a 10 campusuri profesionale;169.000.000;21.042.120;12,50%
C15;I8;grant;I8: Program de formare continuă a personalului didactic;80.000.000;20.923.326;26,20%
C15;I9;grant;I9: Asigurarea echipamentelor și resurselor tehnologice digitale pentru școli;478.500.000;250.736.143;52,40%
C15;I10-1;grant;I10: Dezvoltarea rețelei de școli verzi și achiziționarea de microbuze verzi;209.144.630;131.043.470;62,70%
C15;I10-2;loan;I10: Dezvoltarea rețelei de școli verzi și achiziționarea de microbuze verzi;52.960.909;0;0,00%
C15;I11;grant;I11: Asigurarea dotărilor sălilor de clasa și a laboratoarelor/cabinetelor școlare din sistemul preuniversitar;600.000.000;252.657.953;42,10%
C15;I13;loan;I13: Echiparea laboratoarelor de informatică din unitățile de învățământ profesional și tehnic;9.000.000;4.861.050;54,00%
C15;I14;grant;I14: Echiparea atelierelor de practică din unitățile de învățământ profesional și tehnic;50.000.000;20.515.164;41,00%
C15;I16;grant;I16: Digitalizarea universităților și pregătirea acestora pentru profesiile digitale ale viitorului;234.000.000;111.046.712;47,50%
C15;I17;loan;I17: Asigurarea infrastructurii universitare (cămine, cantine, spații de recreere);135.791.094;9.418.821;6,90%
C15;I18;grant;I18: Program de instruire și mentorat pentru manageri și inspectori școlari;30.720.000;65.812;0,20%
C16;I2;grant;I2. Capacități de producție de energie electrică din surse regenerabile*;460.000.000;72.507.432;15,80%
C16;I4-1;grant;I4. Schemă de acordare a voucherelor pentru accelerarea instalării de capacități de energie regenerabilă în cadrul gospodăriilor individuale;305.381.134;49.667;0,00%
C16;I4-2;loan;I4. Schemă de acordare a voucherelor pentru accelerarea instalării de capacități de energie regenerabilă în cadrul gospodăriilor individuale;305.381.134;0;0,00%
C16;I5-a;grant;I5. Eficientizarea, modernizarea și digitalizarea rețelei naționale de transport a energiei electrice Subinvestiția 5.a - Instalarea de centrale fotovoltaice (CEF) și instalații de stocare a energiei electrice destinate alimentării serviciilor interne instalate în stațiile C.N.T.E.E. Transelectrica S.A;29.557.000;11.717.014;39,60%
C16;I5-b;grant;I5. Eficientizarea, modernizarea și digitalizarea rețelei naționale de transport a energiei electrice Subinvestiția 5.b - Retehnologizarea SMART SA – filiala C.N.T.E.E. Transelectrica S.A;13.791.327;0;0,00%
C16;I5-c;grant;I5. Eficientizarea, modernizarea și digitalizarea rețelei naționale de transport a energiei electrice Subinvestiția 5.c - Optimizarea rețelei de comunicații și crearea unui centru de date – Teletrans SA, filiala C.N.T.E.E. Transelectrica S.A;8.440.200;0;0,00%
C16;I7;grant;I7. Schemă de acordare de vouchere pentru îmbunătățirea eficienței energetice în cadrul gospodăriilor individuale;269.690.200;307.081;0,10%
C16;I8;grant;I8. Contribuția la schema de ajutor de stat sub formă de contracte pentru diferență pentru producerea de energie electrică din surse regenerabile din energie eoliană terestră și energie solară fotovoltaică;350.519.607;0;0,00%
C16;R1;grant;R1. Crearea unui cadru juridic pentru utilizarea terenurilor aflate în proprietatea statului ca zone de accelerare pentru investițiile în sursele regenerabile de energie;3.011.752;0;0,00%
C16;R2;grant;R2. Înființarea de ghișee unice pentru furnizarea către prosumatori de servicii de consiliere în domeniul energiei pentru renovările ce vizează eficiența energetică și producția de energie din surse regenerabile;431.438;0;0,00%
C1;R1;grant;R1. Consolidarea cadrului de reglementare pentru managementul sustenabil al sectorului de apă și apă uzată și pentru accelerarea accesului populației la servicii de calitate conform directivelor europene;Fără costuri asociate;;
C2;R2;grant;R2. Reforma sistemului de management al ariilor naturale protejate în vederea implementării coerente și eficace a Strategiei Europene privind biodiversitate;Fără costuri asociate;;
C3;R1;grant;R1. Îmbunătățirea guvernanței în domeniul gestionării deșeurilor în vederea accelerării tranziției către economia circulară.;Fără costuri asociate;;
C5;R2;grant;R2. Cadru strategic, normativ și procedural care să sprijine reziliența seismică a fondului construit;Fără costuri asociate;;
C6;R1;grant;R1. Reforma pieței de energie electrică, prin înlocuirea cărbunelui din mixul energetic și susținerea unui cadru legislativ și de reglementare stimulativ pentru investițiile private în producția de electricitate din surse regenerabile;Fără costuri asociate;;
C6;R2;grant;R2. Îmbunătățirea guvernanței corporative a întreprinderilor de stat din sectorul energetic;Fără costuri asociate;;
C6;R5;grant;R5. Reducerea intensității energetice a economiei prin dezvoltarea unui mecanism sustenabil de stimulare a eficienței energetice în industrie şi de creștere a rezilienței;Fără costuri asociate;;
C6;R6;grant;R6. Creșterea competitivității și decarbonizarea sectorului de încălzire – răcire;Fără costuri asociate;;
C7;R2;grant;R2. Tranziția către atingerea obiectivelor de conectivitate UE 2025 și stimularea investițiilor private pentru dezvoltarea rețelelor de foarte mare capacitate;Fără costuri asociate;;
C8;R1;grant;R1. Reforma Agenției Naționale de Administrare Fiscală (ANAF) prin digitalizare;Fără costuri asociate;;
C8;R2;grant;R2. Modernizarea sistemului vamal și implementarea vămii electronice;Fără costuri asociate;;
C8;R3;grant;R3. Îmbunătățirea mecanismului de programare bugetară;Fără costuri asociate;;
C8;R4;grant;R4. Revizuirea cadrului fiscal;Fără costuri asociate;;
C8;R5;grant;R5. Crearea și operaționalizarea Băncii Naționale de Dezvoltare;Fără costuri asociate;;
C9;R1;grant;R1. Transparentizare legislativă, debirocratizare și simplificare procedurală destinate mediului de afaceri;Fără costuri asociate;;
C9;R3;grant;R3. Reforma carierei de cercetător;Fără costuri asociate;;
C9;R4;grant;R4. Consolidarea cooperării dintre mediul de afaceri și cel de cercetare;Fără costuri asociate;;
C9;R5;grant;R5. Sprijin pentru integrarea organizațiilor de cercetare, dezvoltare și inovare din România în Spațiul european de cercetare;Fără costuri asociate;;
C10;R1;grant;R1. Crearea cadrului pentru mobilitate urbană durabilă;Fără costuri asociate;;
C10;R2;grant;R2. Crearea cadrului de politică pentru o transformare urbană durabilă – Politica urbană a României;Fără costuri asociate;;
C10;R3;grant;R3. Crearea unui cadru de politică pentru o transformare rurală durabilă: instituirea de consorții administrative în zonele rurale funcționale ;Fără costuri asociate;;
C10;R4;grant;R4. Îmbunătățirea calității locuirii;Fără costuri asociate;;
C10;R5;grant;R5. Dezvoltarea sistemului de planificare – Codul amenajării teritoriului, urbanismului și construcțiilor;Fără costuri asociate;;
C11;R2;grant;R2. Crearea cadrului pentru operaționalizarea traseelor cicloturistice la nivel național;Fără costuri asociate;;
C13;R1;grant;R1. Crearea unui nou cadru legal pentru a preveni separarea copiilor de familie;Fără costuri asociate;;
C14;R5;grant;R5. Garantarea independenței justiției, creșterea calității și eficienței acesteia;Fără costuri asociate;;
C14;R6;grant;R6. Intensificarea luptei împotriva corupției;Fără costuri asociate;;
C14;R7;grant;R7. Evaluarea și actualizarea legislației privind cadrul de integritate;Fără costuri asociate;;
C15;R1;grant;R1. Elaborarea și adoptarea pachetului legislativ pentru implementarea proiectului „România Educată”;Fără costuri asociate;;
C15;R2;grant;R2. Dezvoltarea unui sistem de servicii de educație timpurie unitar, incluziv și de calitate;Fără costuri asociate;;
C15;R3;grant;R3. Reforma sistemului de învățământ obligatoriu pentru prevenirea și reducerea părăsirii timpurii a școlii;Fără costuri asociate;;
C15;R4;grant;R4. Crearea unei rute profesionale complete pentru învățământul tehnic superior;Fără costuri asociate;;
C15;R5;grant;R5. Adoptarea cadrului legislativ pentru digitalizarea educației;Fără costuri asociate;;
C15;R6;grant;R6. Actualizarea cadrului legislativ pentru a asigura standarde ecologice de proiectare, construcție și dotare în sistemul de învățământ preuniversitar;Fără costuri asociate;;
C15;R7;grant;R7. Reforma guvernanței sistemului de învățământ preuniversitar și profesionalizarea managementului;Fără costuri asociate;;
